# Time-averaged data for fix 4
# TimeStep c_msdData1[1] c_msdData1[2] c_msdData1[3] c_msdData1[4]
1920000 3.00125 2.40098 11.7388 17.1411
1928000 3.01474 1.89373 14.3461 19.2546
1936000 3.0342 2.69755 14.4435 20.1753
1944000 3.01362 2.42522 13.6781 19.117
1952000 2.03152 2.79663 12.6063 17.4344
1960000 2.02541 2.79731 10.9194 15.7422
1968000 3.47568 2.089 14.1265 19.6911
1976000 1.97789 2.00545 11.9152 15.8986
1984000 2.43047 2.86169 12.6289 17.9211
1992000 3.06565 2.259 11.1709 16.4955
2000000 1.71738 2.38228 10.421 14.5207
2008000 2.44512 2.39914 13.0559 17.9002
2016000 2.45815 1.9413 13.3059 17.7053
2024000 2.29255 2.52954 14.6837 19.5058
2032000 2.21071 2.04974 12.3165 16.5769
2040000 2.48715 2.75601 13.035 18.2782
2048000 3.27621 2.35054 13.1465 18.7733
2056000 2.01498 2.45116 12.2692 16.7354
2064000 3.30304 2.5719 11.9418 17.8168
2072000 3.08785 2.24311 14.7884 20.1194
2080000 3.92634 2.37684 15.6703 21.9735
2088000 2.65469 2.42289 13.0298 18.1074
2096000 2.27052 2.29636 13.6625 18.2294
2104000 2.09604 2.68714 11.3043 16.0875
2112000 2.78322 2.19048 11.1922 16.1659
2120000 2.73024 1.78281 13.0174 17.5305
2128000 2.11447 1.96452 13.4637 17.5427
2136000 2.82982 2.31772 13.8498 18.9974
2144000 2.30456 2.6628 12.1753 17.1426
2152000 2.88946 3.068 11.9091 17.8666
2160000 3.11487 2.46208 11.9957 17.5726
2168000 1.79654 2.01675 12.7228 16.5361
2176000 3.15685 2.57174 13.1912 18.9198
2184000 2.83531 2.33137 13.6851 18.8518
2192000 2.48017 2.47013 11.2089 16.1592
2200000 3.09827 3.19499 11.8113 18.1046
2208000 2.68997 2.59288 13.4981 18.781
2216000 3.31744 2.51292 13.641 19.4713
2224000 2.57269 2.64651 12.3574 17.5766
2232000 2.41194 2.17751 12.8578 17.4473
2240000 3.28731 2.03037 13.9564 19.2741
2248000 3.04934 1.89582 13.7471 18.6922
2256000 2.61274 2.23912 12.1841 17.036
2264000 1.75347 2.55128 11.3424 15.6471
2272000 2.83318 2.39673 14.5159 19.7458
2280000 3.29633 2.66703 11.7146 17.678
2288000 4.12497 2.9051 13.3541 20.3842
2296000 2.48841 2.04892 11.4569 15.9942
2304000 2.98402 1.96637 12.8044 17.7548
2312000 2.45983 2.17415 13.1507 17.7847
2320000 3.05549 2.76923 10.8661 16.6908
2328000 2.64921 2.2525 14.0988 19.0005
2336000 1.84324 2.17161 12.0849 16.0997
2344000 2.94861 2.07118 12.8052 17.825
2352000 2.59111 2.18172 13.9601 18.7329
2360000 3.46728 2.81094 12.1335 18.4117
2368000 2.48515 2.76361 12.4597 17.7084
2376000 2.36031 2.98829 13.1291 18.4777
2384000 2.19242 2.62783 12.478 17.2982
2392000 2.12155 2.15845 13.3561 17.6361
2400000 3.16411 2.56106 13.118 18.8432
2408000 2.80021 1.96022 12.162 16.9225
2416000 2.48272 2.36888 11.9651 16.8167
2424000 3.04561 2.76595 12.5974 18.4089
2432000 2.91265 2.38961 12.8246 18.1269
2440000 2.4116 1.91649 13.9976 18.3257
2448000 3.18592 2.41471 10.7846 16.3852
2456000 4.06184 2.009 12.3227 18.3935
2464000 1.82145 1.79939 11.0768 14.6976
2472000 3.12259 2.43379 13.9683 19.5247
2480000 2.4675 2.16427 13.4353 18.0671
2488000 2.92224 2.42237 12.3155 17.6601
2496000 4.00222 2.43505 13.8408 20.278
2504000 2.58463 2.0534 13.0557 17.6937
2512000 2.59146 2.98224 12.1141 17.6878
2520000 3.02448 2.39398 13.1482 18.5667
2528000 2.2323 2.83816 12.6513 17.7218
2536000 2.75463 2.22634 12.7146 17.6956
2544000 2.44219 2.34999 10.7482 15.5403
2552000 2.26677 2.06954 12.5237 16.86
2560000 1.68074 2.97006 13.1134 17.7642
2568000 2.82235 1.63197 11.8952 16.3495
2576000 2.43267 2.77123 12.9188 18.1227
2584000 2.35266 2.24506 12.1553 16.7531
2592000 2.58928 2.19769 14.1609 18.9479
2600000 1.96619 1.82306 12.9291 16.7183
2608000 3.15474 3.41494 12.7403 19.31
2616000 2.65788 2.61226 14.2078 19.4779
2624000 2.38746 2.95673 13.0397 18.3838
2632000 2.21592 2.37475 12.3343 16.9249
2640000 3.70393 2.2017 14.0282 19.9338
2648000 3.77927 0.389749 5.34323 9.51225
2656000 3.65066 0.364246 4.32231 8.33722
2664000 2.92717 0.246505 4.44001 7.61368
2672000 4.00429 0.146579 4.95668 9.10755
2680000 3.48426 0.286716 5.52021 9.29119
2688000 3.36196 0.0395754 5.7374 9.13893
2696000 0.000566901 5.2198 5.44222 10.6626
2704000 0.0415812 5.68239 5.86974 11.5937
2712000 0.0167914 4.86677 5.19823 10.0818
2720000 0.0363144 5.39657 4.24703 9.67991
2728000 0.0157826 5.99917 5.70247 11.7174
2736000 0.00058619 6.19738 5.52675 11.7247
2744000 0.121909 4.72364 6.38455 11.2301
2752000 0.0148968 4.097 4.42619 8.53809
2760000 0.04533 5.33773 5.58869 10.9718
2768000 0.00655295 5.3864 5.10186 10.4948
2776000 0.0148673 5.28846 4.83767 10.141
2784000 0.00199807 4.26293 5.02506 9.28999
2792000 0.0703581 4.09195 5.61519 9.7775
2800000 0.0491801 4.97977 6.07765 11.1066
2808000 0.000510042 5.20152 4.12777 9.32979
2816000 0.00557205 5.77126 4.50688 10.2837
2824000 0.0592411 4.62836 4.25074 8.93834
2832000 0.0257776 4.8387 4.68435 9.54882
2840000 0.0284906 4.88508 5.13218 10.0458
2848000 0.0106509 5.81939 4.20172 10.0318
2856000 0.0268612 5.0492 6.20228 11.2783
2864000 3.54596e-06 5.33917 4.70447 10.0436
2872000 0.00363246 4.91486 5.20832 10.1268
2880000 0.00060122 4.36584 5.26528 9.63172
2888000 0.00244022 6.26165 4.29618 10.5603
2896000 0.000203678 5.08758 4.56245 9.65023
2904000 0.000339468 4.9841 5.26701 10.2514
2912000 0.00119123 4.82686 5.98409 10.8121
2920000 0.0113271 3.76813 5.08292 8.86238
2928000 2.24332e-08 5.71499 4.49634 10.2113
2936000 0.000144009 4.48227 4.81786 9.30028
2944000 0.0055472 6.11546 5.32432 11.4453
2952000 0.0684548 5.08575 5.39146 10.5457
2960000 0.00610803 5.36308 5.47546 10.8446
2968000 0.0119411 4.32972 5.98229 10.3239
2976000 0.124874 5.35874 4.00077 9.48438
2984000 0.0800976 4.98652 6.46786 11.5345
2992000 0.0299323 5.5805 4.97489 10.5853
3000000 0.0117252 4.34852 5.51602 9.87626
3008000 0.010096 5.38895 4.65141 10.0505
3016000 4.50525 4.35358 0.664914 9.52375
3024000 12.4347 1.88634 2.74664 17.0677
3032000 13.6288 3.20545 3.24908 20.0833
3040000 13.3019 3.42254 2.8073 19.5317
3048000 11.8867 3.08949 3.19872 18.1749
3056000 12.0082 2.83755 2.97055 17.8163
3064000 12.457 4.21623 3.56883 20.2421
3072000 11.1245 3.39357 2.63689 17.155
3080000 13.279 3.85599 3.30355 20.4385
3088000 14.7922 3.76668 3.21165 21.7705
3096000 12.2463 3.58295 3.39688 19.2261
3104000 11.1255 3.71219 3.06676 17.9045
3112000 12.123 3.78252 3.47825 19.3837
3120000 13.3284 3.5918 2.70711 19.6274
3128000 13.6911 3.23234 3.01174 19.9352
3136000 13.8424 3.7556 3.4167 21.0147
3144000 11.7871 2.84734 3.07342 17.7079
3152000 11.4215 2.87972 2.06998 16.3712
3160000 14.9121 3.12971 2.95882 21.0007
3168000 12.1357 3.09568 3.03001 18.2614
3176000 12.6468 3.33586 3.02767 19.0103
3184000 11.6451 3.77734 3.35811 18.7805
3192000 13.832 4.63915 2.99722 21.4684
3200000 11.5705 3.14123 2.49084 17.2026
3208000 12.2857 3.67773 2.75901 18.7224
3216000 12.5719 3.45786 2.65026 18.68
3224000 10.4236 3.28275 2.64449 16.3509
3232000 9.34076 3.1738 2.25038 14.7649
3240000 11.2923 3.12594 3.43899 17.8572
3248000 12.5389 3.21933 1.86109 17.6193
3256000 9.01317 13.9371 8.89351 31.8438
3264000 10.6756 16.5471 9.91416 37.1369
3272000 9.5595 14.6137 9.68736 33.8606
3280000 9.05365 13.8769 8.47753 31.4081
3288000 12.204 13.6829 9.10566 34.9926
3296000 10.4898 15.5461 10.0157 36.0516
3304000 9.88002 13.919 8.86291 32.6619
3312000 10.6824 15.112 7.8735 33.668
3320000 11.0761 13.2627 9.20597 33.5447
3328000 10.2051 14.9808 10.4121 35.598
3336000 14.1929 14.6881 9.34944 38.2304
3344000 11.3096 14.3389 8.08178 33.7303
3352000 6.37595 8.49816 10.5566 25.4307
3360000 8.80043 14.2078 9.64256 32.6508
3368000 12.3895 14.7286 9.51551 36.6336
3376000 10.7508 13.1085 6.45239 30.3117
3384000 10.1803 14.7521 8.58072 33.5131
3392000 10.3091 14.7355 8.27858 33.3232
3400000 11.1161 12.9192 9.18216 33.2174
3408000 9.78918 14.2917 9.75931 33.8401
3416000 10.2855 15.0956 8.31047 33.6915
3424000 9.73741 13.6712 9.02861 32.4372
3432000 11.7983 16.0943 9.46766 37.3602
3440000 10.5764 14.3954 8.14955 33.1214
3448000 10.017 14.3397 7.75997 32.1167
3456000 9.6832 13.6368 8.17285 31.4929
3464000 10.1833 14.0752 9.5479 33.8065
3472000 11.345 15.1042 8.65018 35.0993
3480000 9.88709 13.2096 10.2995 33.3962
3488000 11.7146 16.0077 7.54705 35.2694
3496000 12.1211 13.6443 10.6539 36.4193
3504000 2.37794 14.0795 1.73965 18.1971
3512000 2.21093 14.9272 1.8256 18.9637
3520000 3.22735 14.1103 1.24635 18.584
3528000 1.94158 13.8658 1.74585 17.5533
3536000 1.63469 14.54 1.75604 17.9307
3544000 2.53017 15.2503 1.59424 19.3748
3552000 1.48339 15.6779 1.63185 18.7932
3560000 2.92122 16.1943 1.24263 20.3581
3568000 2.21209 14.8039 1.47139 18.4873
3576000 3.72228 13.7212 1.38877 18.8323
3584000 1.60166 12.9895 1.41821 16.0094
3592000 2.63602 15.7171 1.9704 20.3235
3600000 1.46768 14.7747 1.40131 17.6437
3608000 1.78774 15.3172 1.71051 18.8155
3616000 2.58833 13.6118 2.02346 18.2236
3624000 3.03255 13.2421 1.48939 17.7641
3632000 2.17498 16.6594 1.27945 20.1138
3640000 1.82678 15.5266 1.11562 18.469
3648000 2.23033 15.9295 1.528 19.6878
3656000 2.96824 14.3901 1.88615 19.2445
3664000 2.5288 15.6339 1.71291 19.8756
3672000 1.53114 14.5692 1.74676 17.8471
3680000 2.21273 13.6256 1.6131 17.4515
3688000 2.2752 14.7688 1.51992 18.5639
3696000 2.08776 15.3597 1.48784 18.9353
3704000 1.52936 14.7252 1.42108 17.6756
3712000 2.47664 14.0084 2.19236 18.6774
3720000 1.7604 14.7216 1.16034 17.6423
3728000 2.8621 14.4178 1.82877 19.1087
3736000 3.37263 14.79 3.32202 21.4846
3744000 2.69182 15.036 1.3115 19.0394
3752000 2.21823 14.9035 1.6819 18.8036
3760000 1.82226 15.4862 1.40913 18.7176
3768000 3.0223 15.9515 2.48184 21.4556
3776000 1.62903 14.3211 1.45912 17.4093
3784000 2.67326 14.2152 1.9726 18.8611
3792000 1.99401 14.5754 1.5723 18.1418
3800000 2.54783 13.8338 1.4682 17.8498
3808000 2.44215 14.9336 0.940542 18.3163
3816000 2.5676 14.2958 1.6241 18.4875
3824000 2.28 12.2002 1.80804 16.2883
3832000 2.18464 12.6546 1.32584 16.1651
3840000 2.53061 14.8214 2.07219 19.4242
3848000 3.21626 15.6689 1.91752 20.8026
3856000 1.48608 13.4238 0.775003 15.6849
3864000 2.38521 12.4323 1.82776 16.6452
3872000 2.27604 13.5649 1.98892 17.8299
3880000 1.99042 12.6402 1.70944 16.34
3888000 2.21374 15.851 0.974383 19.0391
3896000 2.75569 14.7693 1.66984 19.1948
3904000 2.13582 15.1388 1.86954 19.1442
3912000 3.14199 13.5534 1.25193 17.9473
3920000 2.81476 16.8304 1.60866 21.2538
3928000 2.31145 14.3332 1.10906 17.7537
3936000 2.75802 14.0921 2.08949 18.9396
3944000 1.85211 14.553 1.3034 17.7085
3952000 1.85274 14.2864 1.41692 17.556
3960000 2.1382 14.2732 1.55414 17.9655
3968000 2.48917 13.7761 1.89516 18.1604
3976000 1.90829 14.8719 1.33071 18.1109
3984000 2.34648 14.2943 1.87574 18.5165
3992000 2.15865 15.6526 1.56723 19.3785
4000000 2.68364 14.1812 1.78052 18.6454
4008000 1.82625 14.4748 0.853494 17.1546
4016000 3.4666 13.3526 2.22583 19.045
4024000 2.01987 13.7633 0.871687 16.6548
4032000 2.16867 13.6765 1.15069 16.9958
4040000 2.40011 14.7827 1.24609 18.4289
4048000 2.3195 11.7243 1.59176 15.6355
4056000 1.52482 12.14 1.51269 15.1775
4064000 2.45723 14.9187 1.50129 18.8772
4072000 2.43917 14.2598 1.47775 18.1768
4080000 2.00572 14.3893 1.18906 17.584
4088000 2.13602 15.533 1.27671 18.9457
4096000 2.46839 14.0185 1.20584 17.6928
4104000 2.17046 16.0022 1.85294 20.0256
4112000 2.03765 14.7505 1.58904 18.3772
4120000 2.02832 12.3755 1.48493 15.8888
4128000 2.09296 15.2621 1.49802 18.8531
4136000 1.75904 14.9567 1.15394 17.8697
4144000 3.49717 13.1627 1.35493 18.0148
4152000 2.30631 15.8696 1.56179 19.7377
4160000 1.95646 12.9015 2.19718 17.0552
4168000 1.9599 12.7043 1.68441 16.3486
4176000 1.35789 14.3746 1.82099 17.5535
4184000 1.64289 14.6195 1.73217 17.9946
4192000 2.94725 13.1391 1.16556 17.2519
4200000 2.12642 14.1375 1.29133 17.5552
4208000 2.16032 13.8755 1.37719 17.413
4216000 1.88638 15.0692 1.57254 18.5281
4224000 3.46438 14.1199 2.08555 19.6698
4232000 1.94175 15.3969 0.982988 18.3217
4240000 1.53683 16.3736 1.63368 19.5441
4248000 2.14821 15.8289 1.57962 19.5568
4256000 1.82369 14.5477 1.38787 17.7592
4264000 3.09943 15.4 1.44637 19.9458
4272000 1.84746 14.1473 2.18538 18.1801
4280000 1.3045 13.9674 1.0219 16.2938
4288000 3.00657 14.8644 2.07182 19.9428
4296000 2.42123 15.0696 1.80337 19.2942
4304000 1.76452 15.4821 1.37945 18.626
4312000 2.4779 13.6538 1.95196 18.0837
4320000 2.52298 12.9352 1.6996 17.1578
4328000 2.55581 15.0607 2.59957 20.2161
4336000 1.8398 13.7646 2.22755 17.832
4344000 2.61076 14.4397 2.2477 19.2981
4352000 2.67476 15.2318 1.60187 19.5085
4360000 2.72676 16.7399 1.67394 21.1406
4368000 3.29068 15.6506 2.16833 21.1096
4376000 2.20355 14.6422 1.1184 17.9641
4384000 3.10726 14.7786 2.21695 20.1028
4392000 2.84173 14.9051 1.14464 18.8915
4400000 3.54216 14.0623 1.57951 19.184
4408000 1.51354 15.5622 1.16329 18.239
4416000 2.02015 14.6683 1.31989 18.0083
4424000 2.05037 13.5384 1.43603 17.0249
4432000 2.31257 16.2297 2.07305 20.6153
4440000 3.15372 15.3596 1.74571 20.259
4448000 2.05189 15.5406 1.1293 18.7218
4456000 2.477 15.2987 1.85913 19.6348
4464000 2.04313 13.7517 1.73052 17.5253
4472000 2.09087 12.9178 1.65834 16.667
4480000 2.85899 12.6966 1.16448 16.7201
4488000 3.51675 14.0819 1.97023 19.5689
4496000 1.23643 13.7317 1.20684 16.1749
4504000 1.96617 14.7922 1.23494 17.9933
4512000 3.03403 14.3842 1.09886 18.5171
4520000 2.15873 14.6454 1.45361 18.2577
4528000 2.28698 14.8279 1.16396 18.2788
4536000 2.0815 15.1832 2.01493 19.2796
4544000 2.27643 14.7296 2.28656 19.2926
4552000 2.66281 13.1356 1.6602 17.4586
4560000 2.01961 14.524 1.75813 18.3017
